"Name","Age","Class/Dept","Ticket","Joined","Job","Boat [Body]"
"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,"3rd Class Passenger","CA2673£20 5s","Southampton","","A"
"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,"3rd Class Passenger","348125£7 13s","Southampton","","16*"
"ABELSETH, Mr Olaus Jørgensen",25,"3rd Class Passenger","348122£7 13s","Southampton","Farmer","A"
"ABELSON, Mrs Anna",28,"2nd Class Passenger","3381£24","Cherbourg","",""
"ABĪ SA'B, Mrs Sha'nīnah",38,"3rd Class Passenger","2688£7 4s 7d","Cherbourg","",""
"ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim",27,"3rd Class Passenger","2699£18 15s 9d","Cherbourg","",""
"ABRAHAMSSON, Mr August Abraham Johannes",19,"3rd Class Passenger","3101284£7 18s 6d","Southampton","",15
"AKS, Mrs Leah",21,"3rd Class Passenger","392091£9 7s","Southampton","",""
"AKS, Master Philip","10m","3rd Class Passenger","392091£9 7s","Southampton","",""
"AL-BA'QLĪNĪ, Mrs Laṭīfah",23,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Mārīyā",5,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Ūwjīnīyā",3,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Hilānah",2,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-ZA'INNĪ, Mr Fahīm Rūḥānā",25,"3rd Class Passenger","2620£7 4s 6d","Cherbourg","General Labourer","6*"
"ALLEN, Miss Elisabeth Walton",29,"1st Class Passenger","24160£211 6s 9d","Southampton","",2
"ALLISON, Master Hudson Trevor","11m","1st Class Passenger","113781£151 16s","Southampton","",11
"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,"3rd Class Passenger","350046£7 17s 1d","Southampton","",16
"ANDERSON, Mr Harry",42,"1st Class Passenger","19952£26 11s","Southampton","Stockbroker","3*"
"ANDERSSON, Miss Erna Alexandra",16,"3rd Class Passenger","3101281£7 18s 6d","Southampton","",""
"ANDREWS, Miss Cornelia Theodosia",62,"1st Class Passenger","13502£77 19s 2d","Cherbourg","",10
"ANGLE, Mrs Florence Agnes",36,"2nd Class Passenger","226875£26","Southampton","","11*"
"APPLETON, Mrs Charlotte",53,"1st Class Passenger","11769£51 9s 7d","Southampton","",2
"ASPLUND, Master Edvin Rojj Felix",3,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASPLUND, Mr Johan Charles",23,"3rd Class Passenger","350054£7 15s 11d","Southampton","","13*"
"ASPLUND, Mrs Selma Augusta Emilia",38,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASPLUND, Miss Lillian Gertrud",5,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASTOR, Mrs Madeleine Talmage",18,"1st Class Passenger","17757£247 10s 6d","Cherbourg","",4
"AUBART, Mme. Léontine Pauline",24,"1st Class Passenger","17477£69 6s","Cherbourg","Singer",9
"AYYŪB-DĀHIR, Miss Bannūrah",15,"3rd Class Passenger","2687£7 4s 7d","Cherbourg","",""
"BACKSTRÖM, Mrs Maria Mathilda",33,"3rd Class Passenger","3101278£15 17s","Southampton","",""
"BADMAN, Miss Emily Louisa",18,"3rd Class Passenger","31416£8 1s","Southampton","Servant","C*"
"BALLS, Mrs Ada Elizabeth",36,"2nd Class Passenger","28551£13","Southampton","","10*"
"BARBER, Miss Ellen Mary",26,"1st Class PassengerServant","19877£78 17s","Southampton","Personal Maid",6
"BARKWORTH, Mr Algernon Henry",47,"1st Class Passenger","27042£30","Southampton","Justice of the Peace","B"
"BASSANI, Mrs Albina",31,"1st Class PassengerServant","11813£76 5s 10d","Cherbourg","Personal Maid",8
"BAXTER, Mrs Hélène",50,"1st Class Passenger","17558£247 10s 5d","Cherbourg","","6*"
"BEANE, Mr Edward",32,"2nd Class Passenger","2908£26","Southampton","","9*"
"BEANE, Mrs Ethel Louisa",22,"2nd Class Passenger","2908£26","Southampton","","9*"
"BECKER, Mrs Nellie E.",35,"2nd Class Passenger","230136£39","Southampton","",11
"BECKER, Miss Marion Louise",4,"2nd Class Passenger","230136£39","Southampton","",11
"BECKER, Master Richard F.",1,"2nd Class Passenger","230136£39","Southampton","",11
"BECKER, Miss Ruth Elizabeth",12,"2nd Class Passenger","230136£39","Southampton","",13
"BECKWITH, Mr Richard Leonard",37,"1st Class Passenger","11751£52 11s 1d","Southampton","Realtor",5
"BECKWITH, Mrs Sarah Maybell",46,"1st Class Passenger","11751£52 11s 1d","Southampton","",5
"BEESLEY, Mr Lawrence",34,"2nd Class Passenger","248698£13","Southampton","Teacher",13
"BEHR, Mr Karl Howell",26,"1st Class Passenger","111369£30","Cherbourg","",5
"BENTHAM, Miss Lillian Winifred",19,"2nd Class Passenger","28404£13","Southampton","",12
"BESSETTE, Miss Nellie Mayo",39,"1st Class PassengerServant","17760£63 7s 2d","Cherbourg","Personal Maid",8
"BIDOIS, Miss Rosalie",46,"1st Class PassengerServant","17757£247 10s 6d","Cherbourg","Personal Maid",4
"BING, Mr Lee",32,"3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman",""
"BIRD, Miss Ellen",31,"1st Class PassengerServant","17483£221 15s 7d","Southampton","Personal Maid","8*"
"BISHOP, Mr Dickinson H.",25,"1st Class Passenger","11967£91 1s 7d","Cherbourg","",7
"BISHOP, Mrs Helen Margaret",19,"1st Class Passenger","11967£91 1s 7d","Cherbourg","",7
"BJÖRNSTRÖM-STEFFANSSON, Mr Mauritz Håkan",28,"1st Class Passenger","110564£26 11s","Southampton","Businessman","D"
"BLANK, Mr Henry",39,"1st Class Passenger","112277£31","Cherbourg","Jeweller","7*"
"BONNELL, Miss Caroline",30,"1st Class Passenger","36928£164 17s 4d","Southampton","",8
"BONNELL, Miss Elizabeth",61,"1st Class Passenger","113783£26 11s","Southampton","",8
"BOWEN, Miss Grace Scott",45,"1st Class PassengerServant","17608£262 7s 6d","Cherbourg","Governess",4
"BOWERMAN, Miss Elsie Edith",22,"1st Class Passenger","113505£55","Southampton","",6
"BRADLEY, Miss Bridget",22,"3rd Class Passenger","334914£7 14s 6d","Queenstown","",""
"BRERETON, Mr George Andrew",37,"1st Class Passenger","111427£26 11s","Southampton","Gambler","9*"
"BROWN, Miss Amelia Mary",18,"2nd Class PassengerServant","248733£13","Southampton","Cook (Personal)",11
"BROWN, Mrs Caroline Lane",59,"1st Class Passenger","11769£51 9s 7d","Southampton","","4*"
"BROWN, Mrs Margaret",44,"1st Class Passenger","17610£27 14s 5d","Cherbourg","Socialite",6
"BROWN, Mrs Elizabeth Catherine",44,"2nd Class Passenger","29750£39","Southampton","",14
"BROWN, Miss Edith Eileen",15,"2nd Class Passenger","29750£39","Southampton","Scholar",14
"BRYHL, Miss Dagmar Jenny Ingeborg",20,"2nd Class Passenger","236853£26","Southampton","",12
"BUCKLEY, Mr Daniel",21,"3rd Class Passenger","330920£7 15s 17d","Queenstown","Farm Labourer",""
"BUCKNELL, Mrs Emma Eliza",58,"1st Class Passenger","11813£76 5s 10d","Cherbourg","",8
"BURNS, Miss Elizabeth Margaret",41,"1st Class PassengerServant","16966£134 10s","Cherbourg","Nursemaid",3
"BUSS, Miss Kate",36,"2nd Class Passenger","27849£13","Southampton","",9
"BYSTRÖM, Mrs Karolina",39,"2nd Class Passenger","236852£13","Southampton","",""
"CALDERHEAD, Mr Edward Pennington",42,"1st Class Passenger","17476£26 5s 9d","Southampton","",5
"CALDWELL, Mr Albert Francis",26,"2nd Class Passenger","248738£29","Southampton","",13
"CALDWELL, Mrs Sylvia Mae",28,"2nd Class Passenger","248738£29","Southampton","",13
"CALDWELL, Master Alden Gates","10m","2nd Class Passenger","248738£29","Southampton","",13
"CAMERON, Miss Clear Annie",35,"2nd Class Passenger","13528£21","Southampton","Personal Maid",14
"CANDEE, Mrs Helen Churchill",52,"1st Class Passenger","17606£27 8s 11d","Cherbourg","Writer",6
"CARDEZA, Mrs Charlotte Wardle",58,"1st Class Passenger","17755£512 6s 7d","Cherbourg","",3
"CARDEZA, Mr Thomas Drake Martinez",36,"1st Class Passenger","17755£512 6s 7d","Cherbourg","Gentleman",3
"CARTER, Mr William Ernest",36,"1st Class Passenger","113760£120","Southampton","Businessman","C"
"CARTER, Mrs Lucile",36,"1st Class Passenger","113760£120","Southampton","",4
"CARTER, Miss Lucile Polk",14,"1st Class Passenger","113760£120","Southampton","",4
"CARTER, Master William Thornton II",11,"1st Class Passenger","113760£120","Southampton","",4
"CASSEBEER, Mrs Eleanor Genevieve",36,"1st Class Passenger","17770£27 14s 5d","Cherbourg","",5
"CAVENDISH, Mrs Julia Florence",25,"1st Class Passenger","19877£78 17s","Southampton","",6
"CHAFFEE, Mrs Carrie Constance",47,"1st Class Passenger","5734£61 3s 6d","Southampton","","11*"
"CHAMBERS, Mr Norman Campbell",27,"1st Class Passenger","113806£53 2s","Southampton","",5
"CHAMBERS, Mrs Bertha",32,"1st Class Passenger","113806£53 2s","Southampton","",5
"CHAUDANSON, Miss Victorine",36,"1st Class PassengerServant","17608£262 7s 6d","Cherbourg","Personal Maid",4
"CHERRY, Miss Gladys",30,"1st Class Passenger","110152£86 10s","Southampton","Of Independent Means",8
"CHEVRÉ, Mr Paul Romaine Marie Léonce",45,"1st Class Passenger","17594£29 14s","Cherbourg","Sculptor","7*"
"CHIBNALL, Mrs Edith Martha Bowerman",48,"1st Class Passenger","113505£55","Southampton","Of Independent Means",6
"CHIP, Mr Chang",32,"3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman",""
"CHRISTY, Mrs Alice Frances",52,"2nd Class Passenger","237789£30","Southampton","",""
"CHRISTY, Miss Rachel Juli Cohen",25,"2nd Class Passenger","237789£30","Southampton","",""
"CLARK, Mrs Virginia Estelle",26,"1st Class Passenger","13508£136 15s 7d","Cherbourg","",4
"CLARKE, Mrs Ada Maria",28,"2nd Class Passenger","2003£26","Southampton","",14
"CLEAVER, Miss Alice Catherine",22,"1st Class PassengerServant","113781£151 16s","Southampton","Nursemaid",11
"COHEN, Mr Gurshon",19,"3rd Class Passenger","3540£8 1s","Southampton","Printer / Compositor","12*"
"COLLETT, Mr Sidney Clarence Stuart",25,"2nd Class Passenger","28034£10 10s","Southampton","",9
"COLLYER, Mrs Charlotte Caroline",30,"2nd Class Passenger","31921£26 5s","Southampton","",14
"COLLYER, Miss Marjorie Lottie",8,"2nd Class Passenger","31921£26 5s","Southampton","",14
"COMPTON, Mrs Mary Eliza",64,"1st Class Passenger","17756£83 3s 2d","Cherbourg","",14
"COMPTON, Miss Sara Rebecca",39,"1st Class Passenger","17756£83 3s 2d","Cherbourg","",14
"CONNOLLY, Miss Catherine",23,"3rd Class Passenger","370373£7 15s","Queenstown","","13*"
"COOK, Mrs Selena",22,"2nd Class Passenger","14266£10 10s","Southampton","",14
"CORNELL, Mrs Malvina Helen",55,"1st Class Passenger","11770£25 14s 10d","Southampton","",2
"CORR, Miss Ellen",16,"3rd Class Passenger","367231£7 15s","Queenstown","",""
"COUTTS, Mrs Minnie",36,"3rd Class Passenger","37671£15 18s","Southampton","",2
"COUTTS, Master William Loch",9,"3rd Class Passenger","37671£15 18s","Southampton","",2
"COUTTS, Master Neville Leslie",3,"3rd Class Passenger","37671£15 18s","Southampton","",2
"CRIBB, Miss Laura May",16,"3rd Class Passenger","371362£16 2s","Southampton","Shop Assistant",""
"CROSBY, Mrs Catherine Elizabeth",64,"1st Class Passenger","5735£71","Southampton","",""
"CROSBY, Miss Harriette Rebecca",39,"1st Class Passenger","112901£26 11s","Southampton","",""
"CUMINGS, Mrs Florence Briggs",35,"1st Class Passenger","17599£71 5s 8d","Cherbourg","",4
"DAHL, Mr Charles Edward",45,"3rd Class Passenger","7598£8 1s","Southampton","Carpenter / Joiner",15
"DALY, Mr Peter Dennis",51,"1st Class Passenger","113055£26 11s","Southampton","Businessman","A*"
"DALY, Miss Margaret",33,"3rd Class Passenger","382650£6 19s","Queenstown","Seamstress",""
"DALY, Mr Eugene Patrick",29,"3rd Class Passenger","382651£7 15s","Queenstown","Farm Labourer","B*"
"DANIEL, Mr Robert Williams",27,"1st Class Passenger","113804£30 10s","Southampton","","7*"
"DANIELS, Miss Sarah",33,"1st Class PassengerServant","113781£151 16s","Southampton","Personal Maid","8*"
"DAVIDSON, Mrs Orian",27,"1st Class Passenger","12750£52","Cherbourg","",3
"DAVIES, Mrs Agnes",48,"2nd Class Passenger","33112£36 15s","Southampton","","14*"
"DAVIES, Master John Morgan jr",8,"2nd Class Passenger","33112£36 15s","Southampton","","14*"
"DAVIS, Miss Mary Ann Charlotte",28,"2nd Class Passenger","237668£13","Southampton","",""
"DAVISON, Mrs Mary Elizabeth",34,"3rd Class Passenger","386525£16 2s","Southampton","",10
"DE MESSEMAEKER, Mr Guillaume Joseph",36,"3rd Class Passenger","345572£17 8s","Southampton","",15
"DE MESSEMAEKER, Mrs Anna",36,"3rd Class Passenger","345572£17 8s","Southampton","",13
"DE MULDER, Mr Theodoor",30,"3rd Class Passenger","345774£9 10s","Southampton","",""
"DEAN, Mrs Eva Georgetta",32,"3rd Class Passenger","2315£20 11s 6d","Southampton","",10
"DEAN, Master Bertram Vere",1,"3rd Class Passenger","2315£20 11s 6d","Southampton","",10
"DEAN, Miss Eliza Gladys Millvina","2m","3rd Class Passenger","2315£20 11s 6d","Southampton","",10
"DEL CARLO, Mrs Argene",24,"2nd Class Passenger","2167£27 14s 5d","Cherbourg","",""
"DEVANEY, Miss Margaret Bedelia",20,"3rd Class Passenger","330958£7 17s 7d","Queenstown","",""
"DICK, Mr Albert Adrian",31,"1st Class Passenger","17474£57","Southampton","",3
"DICK, Mrs Vera",20,"1st Class Passenger","17474£57","Southampton","",3
"DODGE, Dr Washington",52,"1st Class Passenger","33638£81 17s 2d","Southampton","Politician",13
"DODGE, Mrs Ruth",38,"1st Class Passenger","33638£81 17s 2d","Southampton","",5
"DODGE, Master Washington",4,"1st Class Passenger","33638£81 17s 2d","Southampton","",5
"DOLING, Mrs Ada Julia Elizabeth",34,"2nd Class Passenger","231919£23","Southampton","",""
"DOLING, Miss Elsie",18,"2nd Class Passenger","231919£23","Southampton","",""
"DORKINGS, Mr Edward Arthur",18,"3rd Class Passenger","10482£8 1s","Southampton","Groom","B*"
"DOUGLAS, Mrs Mahala",48,"1st Class Passenger","17761£106 8s 6d","Cherbourg","",2
"DOUGLAS, Mrs Mary Hélène",27,"1st Class Passenger","17558£247 10s 5d","Cherbourg","","6*"
"DOWDELL, Miss Elizabeth",31,"3rd Class Passenger","364516£12 9s 6d","Southampton","Housekeeper",13
"DREW, Mrs Maria Louisa Thorne",34,"2nd Class Passenger","28220£32 10s","Southampton","",""
"DREW, Master Marshall Brines",8,"2nd Class Passenger","28220£32 10s","Southampton","",""
"DRISCOLL, Miss Bridget",27,"3rd Class Passenger","14311£7 15s","Queenstown","",""
"DROPKIN, Miss Jennie",24,"3rd Class Passenger","392083£8 1s","Southampton","Box Maker",""
"DUFF GORDON, Sir Cosmo Edmund",49,"1st Class Passenger","11755£39 12s","Cherbourg","Landowner",1
"DUFF GORDON, Lucy Christiana, Lady",48,"1st Class Passenger","17485£56 18s 7d","Cherbourg","Dressmaker / Couturiere",1
"DUQUEMIN, Mr Joseph Pierre",24,"3rd Class Passenger","752£7 11s","Southampton","Mason","D"
"DURÁN I MONÉ, Miss Florentina",30,"2nd Class Passenger","2148£13 17s 2d","Cherbourg","",12
"DURÁN I MONÉ, Miss Asuncion",27,"2nd Class Passenger","2149£13 17s 2d","Cherbourg","",12
"DYKER, Mrs Anna Elisabeth Judith",22,"3rd Class Passenger","347072£13 18s","Southampton","Singer",""
"EARNSHAW, Mrs Olive",23,"1st Class Passenger","11767£83 3s 2d","Cherbourg","Of Independent Means",7
"EMANUEL, Miss Virginia Ethel",6,"3rd Class Passenger","364516£12 9s 6d","Southampton","",13
"ENDRES, Miss Caroline Louise",39,"1st Class PassengerServant","17757£247 10s 6d","Cherbourg","Nurse",4
"EUSTIS, Miss Elizabeth Mussey",54,"1st Class Passenger","36947£78 5s 4d","Cherbourg","",4
"FINOLI, Mr Luigi",41,"3rd Class Passenger","3101308£7 1s","Southampton","","15*"
"FLEGENHEIM, Mrs Antoinette",48,"1st Class Passenger","17598£31 13s 8d","Cherbourg","",7
"FLEMING, Miss Margaret",42,"1st Class PassengerServant","17421£110 17s 8d","Cherbourg","Personal Maid",4
"FLYNN, Mr John Irwin",36,"1st Class Passenger","PC 14474£26 5s 9d","Southampton","",5
"FOO, Mr Choong",32,"3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman",""
"FORTUNE, Mrs Mary",60,"1st Class Passenger","19950£263","Southampton","","10*"
"FORTUNE, Miss Ethel Flora",28,"1st Class Passenger","19950£263","Southampton","","10*"
"FORTUNE, Miss Alice Elizabeth",24,"1st Class Passenger","19950£263","Southampton","","10*"
"FORTUNE, Miss Mabel Helen",23,"1st Class Passenger","19950£263","Southampton","","10*"
"FRANCATELLI, Miss Laura Mabel",31,"1st Class PassengerServant","17485£56 18s 7d","Cherbourg","Secretary",1
"FRAUENTHAL, Mr Isaac Gerry",43,"1st Class Passenger","17765£27 14s 5d","Cherbourg","",5
"FRAUENTHAL, Dr Henry William",49,"1st Class Passenger","17611£133 13s","Southampton","Doctor",5
"FRAUENTHAL, Mrs Clara",42,"1st Class Passenger","17611£133 13s","Southampton","",5
"FRÖLICHER, Miss Hedwig Margaritha",22,"1st Class Passenger","13568£49 10s","Cherbourg","",5
"FRÖLICHER-STEHLI, Mr Maximilian Josef",60,"1st Class Passenger","13567£79 4s","Cherbourg","",5
"FRÖLICHER-STEHLI, Mrs Margaretha Emerentia",48,"1st Class Passenger","13567£79 4s","Cherbourg","",5
"FUTRELLE, Mrs Lily May",35,"1st Class Passenger","113803£53 2s","Southampton","",9
"GARSIDE, Miss Ethel",39,"2nd Class Passenger","243880£13","Southampton","",""
"GIBSON, Mrs Pauline Caroline",45,"1st Class Passenger","112378£59 8s","Cherbourg","",7
"GIBSON, Miss Dorothy Winifred",22,"1st Class Passenger","112378£59 8s","Cherbourg","",7
"GIEGER, Miss Amalie Henriette",35,"1st Class PassengerServant","113503£211 10s","Southampton","Personal Maid",4
"GILNAGH, Miss Kate",17,"3rd Class Passenger","35851£7 14s 8d","Queenstown","",""
"GLYNN, Miss Mary Agatha",18,"3rd Class Passenger","335677£7 15s","Queenstown","Maid",13
"GOLDENBERG, Mr Samuel Levi",47,"1st Class Passenger","17453£89 2s 1d","Cherbourg","",5
"GOLDENBERG, Mrs Nella Carlynne",46,"1st Class Passenger","17453£89 2s 1d","Cherbourg","",5
"GOLDSMITH, Mrs Emily Alice",31,"3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
"GOLDSMITH, Master Frank John William",9,"3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
"GRACIE, Colonel Archibald",53,"1st Class Passenger","113780£28 10s","Southampton","Writer","B"
"GRAHAM, Mrs Edith",58,"1st Class Passenger","17582£153 9s 3d","Southampton","","3*"
"GRAHAM, Miss Margaret Edith",19,"1st Class Passenger","17582£153 9s 3d","Southampton","","3*"
"GREENFIELD, Mrs Blanche",45,"1st Class Passenger","17759£63 7s 2d","Cherbourg","",7
"GREENFIELD, Mr William Bertram",23,"1st Class Passenger","17759£63 7s 2d","Cherbourg","",7
"HAKKARAINEN, Mrs Elin Matilda",24,"3rd Class Passenger","3101279£15 17s","Southampton","","10*"
"HÄMÄLÄINEN, Mrs Anna Lydia Amanda",23,"2nd Class Passenger","250649£14 10s","Southampton","",""
"HÄMÄLÄINEN, Master Viljo Unto Johannes",1,"2nd Class Passenger","250649£14 10s","Southampton","",""
"ḤANNĀ, Mr Mubārik Sulaymān Abī Āsī",27,"3rd Class Passenger","2663£7 4s 7d","Cherbourg","","15*"
"HANSEN, Mrs Jennie Louise",45,"3rd Class Passenger","350026£14 2s 2d","Southampton","",11
"HARDER, Mr George Achilles",25,"1st Class Passenger","11765£55 8s 10d","Cherbourg","Businessman",5
"HARDER, Mrs Dorothy",21,"1st Class Passenger","11765£55 8s 10d","Cherbourg","",5
"HARPER, Mr Henry Sleeper",48,"1st Class Passenger","17572£76 14s 7d","Cherbourg","Of Independent Means",3
"HARPER, Mrs Myra Raymond",49,"1st Class Passenger","17572£76 14s 7d","Cherbourg","",3
"HARPER, Miss Annie Jessie",6,"2nd Class Passenger","248727£33","Southampton","",11
"HARRIS, Mrs Irene",35,"1st Class Passenger","36973£83 9s 6d","Southampton","","D"
"HARRIS, Mr George",62,"2nd Class Passenger","752£10 10s","Southampton","","15*"
"HART, Mrs Emily Esther Louisa",48,"2nd Class Passenger","13529£26 5s","Southampton","",14
"HART, Miss Eva Miriam",7,"2nd Class Passenger","13529£26 5s","Southampton","",14
"HASSAB, Mr Hammad",27,"1st Class PassengerServant","17572£76 14s 7d","Cherbourg","Servant",3
"HAWKSFORD, Mr Walter James",45,"1st Class Passenger","16988£30","Southampton","Sales Manager","3*"
"HAYS, Mrs Clara Jennings",52,"1st Class Passenger","12749£93 10s","Southampton","",3
"HAYS, Miss Margaret Bechstein",24,"1st Class Passenger","11767£83 3s 2d","Cherbourg","",7
"HEALY, Miss Honor",33,"3rd Class Passenger","370375£7 15s","Queenstown","Farmer",""
"HEDMAN, Mr Oskar Arvid",27,"3rd Class Passenger","347089£6 19s 6d","Southampton","Settler Recruiter","15*"
"HEE, Mr Ling",24,"3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman",""
"HEIKKINEN, Miss Laina Maria",16,"3rd Class Passenger","3101282£7 18s 6d","Southampton","",""
"HELLSTRÖM, Miss Hilda Maria",22,"3rd Class Passenger","7548£8 19s 3d","Southampton","","C*"
"HERMAN, Mrs Jane",50,"2nd Class Passenger","220845£65","Southampton","",""
"HERMAN, Miss Alice",24,"2nd Class Passenger","220845£65","Southampton","",""
"HERMAN, Miss Kate",24,"2nd Class Passenger","220845£65","Southampton","",""
"HEWLETT, Mrs Mary Dunbar",56,"2nd Class Passenger","248706£16","Southampton","",13
"HIPPACH, Mrs Ida Sophia",44,"1st Class Passenger","111361£57 19s 7d","Cherbourg","",4
"HIPPACH, Miss Gertrude Isabelle",17,"1st Class Passenger","111361£57 19s 7d","Cherbourg","",4
"HIRVONEN, Mrs Helga Elisabeth Lindqvist",22,"3rd Class Passenger","3101298£12 5s 9d","Southampton","",""
"HIRVONEN, Miss Hildur Elisabeth",2,"3rd Class Passenger","3101298£12 5s 9d","Southampton","",""
"HOCKING, Mrs Eliza",54,"2nd Class Passenger","29105£23","Southampton","",""
"HOCKING, Miss Ellen",20,"2nd Class Passenger","29105£23","Southampton","",""
"HOGEBOOM, Mrs Anna Louisa",51,"1st Class Passenger","13502£77 19s 2d","Cherbourg","Of Independent Means",10
"HOLD, Mrs Annie Margaret",29,"2nd Class Passenger","26707£26","Southampton","",""
"HOLVERSON, Mrs Mary Alice",35,"1st Class Passenger","113789£52","Southampton","",""
"HOMER, Mr Harry Haven",40,"1st Class Passenger","111426£26 11s","Southampton","Gambler","15*"
"HONKANEN, Miss Eliina",28,"3rd Class Passenger","3101283£7 18s 6d","Southampton","",""
"HOSONO, Mr Masabumi",41,"2nd Class Passenger","237798£13","Southampton","Civil Servant",10
"HOWARD, Miss May Elizabeth",26,"3rd Class Passenger","39186£8 1s","Southampton","Laundry Worker","C"
"HOYT, Mr Frederick Maxfield",38,"1st Class Passenger","19943£100","Southampton","","D"
"HOYT, Mrs Jane Anne",33,"1st Class Passenger","19943£100","Southampton","","D"
"HYMAN, Mr Joseph Abraham",31,"3rd Class Passenger","3470£7 17s 9d","Southampton","Framer","13*"
"IBRĀHĪM, Mrs Sāfiyah",18,"3rd Class Passenger","2657£7 4s 7d","Cherbourg","",""
"ICARD, Miss Rose Amélie",39,"1st Class PassengerServant","113572£80","Southampton","Personal Maid",6
"ILETT, Miss Bertha",17,"2nd Class Passenger","14885£10 10s","Southampton","",14
"ISMAY, Mr Joseph Bruce",49,"1st Class Passenger",112058,"Southampton","Shipowner","C"
"JACOBSOHN, Mrs Amy Frances Christy",24,"2nd Class Passenger","243847£27","Southampton","",""
"JALŠEVAC, Mr Ivan",30,"3rd Class Passenger","349240£7 17s 11d","Cherbourg","",""
"JANSSON, Mr Carl Olof",21,"3rd Class Passenger","350034£7 15s 11d","Southampton","","A"
"JERMYN, Miss Annie Jane",26,"3rd Class Passenger","14313£7 15s","Queenstown","",""
"JERWAN, Mrs Marie Marthe",23,"2nd Class Passenger","541£13 15s 10d","Cherbourg","","11*"
"JOHANNESEN, Mr Bernt Johannes",29,"3rd Class Passenger","65306£8 2s 3d","Southampton","",13
"JOHANSSON, Mr Oscar Wilhelm",32,"3rd Class Passenger","347079£7 15s 6d","Southampton","Seaman",""
"JOHNSON, Mrs Aliina Vilhelmina",27,"3rd Class Passenger","347742£11 2s 8d","Southampton","","15*"
"JOHNSON, Master Harold Theodor",4,"3rd Class Passenger","347742£11 2s 8d","Southampton","","15*"
